(2,4)
(2,-1)
(1,0)
(1,-1)
(3,0)
(3,-1)
(3,0.000953385116238)
(3,0.105271)
(3,0.0166782487839)
(3,0.000694927032662)
(1,-0.000103270223752)
(1,0.123889)
(1,0.0104200586128)
(1,0.00260501465321)
(8,None)
(8,0.138684)
(8,0.0111662531017)
(8,0.00992555831266)
(8,0)
(8,-1)
(5,None)
(5,0.158223)
(5,0.00980392156863)
(5,None)
(9,0)
(9,-1)
(9,0.000615460570357)
(9,0.038557)
(9,0.00649350649351)
(9,None)
(4,0)
(4,-1)
(10,0.000220580820813)
(10,-0.136807)
(10,0.00789889415482)
(10,0.00631911532385)
(5,0)
(5,1.0)
(4,0.00023896725897)
(4,0.240479)
(4,0.00655021834061)
(4,0.00764192139738)
(6,0.00135708420765)
(6,-0.0582025)
(6,0.00663716814159)
(6,None)
(6,0)
(6,-1)
(10,0)
(10,1.5)
(7,0.00023024148172)
(7,0.331859)
(7,0.0100896860987)
(7,0.00112107623318)
(7,0)
(7,3.0)
