(2,9)
(2,-1)
(3,-0.000340947834981)
(3,0.255506)
(3,0.0119331742243)
(3,0.00238663484487)
(1,None)
(1,0.0563688)
(1,0.0025706940874)
(1,None)
(2,None)
(2,0.285001)
(2,0.00652173913043)
(2,None)
(1,3)
(1,-1)
(4,0)
(4,2.0)
(3,5)
(3,-1)
(4,-9.58772770853e-05)
(4,0.117911)
(4,0.00805369127517)
(4,None)
(5,0)
(5,2.33333333333)
(5,0.000243506493506)
(5,0.0986469)
(5,0.00757575757576)
(5,None)
(6,2)
(6,7.33333333333)
(7,5.66893424036e-05)
(7,0.164925)
(7,0.00892857142857)
(7,0.00297619047619)
(8,5)
(8,-1)
(9,0.00161172161172)
(9,0.1356)
(9,0.0241758241758)
(9,None)
(9,0)
(9,1.66666666667)
(7,0)
(7,-1)
(10,0)
(10,3.0)
(10,0.000318979266348)
(10,0)
(10,0.00505050505051)
(10,None)
(8,0.00165261333541)
(8,-0.175257)
(8,0.00839694656489)
(8,0.0030534351145)
