(5,None)
(5,None)
(5,0.0176767676768)
(5,None)
(5,1)
(5,0.0)
(3,0.00121930870009)
(3,None)
(3,0.0178384050367)
(3,0.00524658971668)
(8,0.0011574623528)
(8,0.175231)
(8,0.00536193029491)
(8,0.0134048257373)
(6,None)
(6,0.150448)
(6,0.0074812967581)
(6,0.00124688279302)
(1,4)
(3,15)
(3,-1)
(1,4.2)
(5,0.0)
(5,-0.0919626)
(5,0.0176767676768)
(5,None)
(2,9)
(2,-1)
(1,0.0022887203662)
(1,-0.0878103)
(1,0.00430416068867)
(1,0.00143472022956)
(2,0.00544111931597)
(2,None)
(2,0.00843373493976)
(2,0.00240963855422)
(3,0.00101652675761)
(3,-0.0418238)
(3,0.0178384050367)
(3,0.00524658971668)
