(3,None)
(3,0)
(3,0.0038961038961)
(3,0.0012987012987)
(2,3)
(2,1.0)
(4,None)
(4,0)
(4,0.0197740112994)
(4,None)
(1,0.00303092361253)
(1,-0.298473)
(1,0.00583657587549)
(1,None)
(2,9.55535214548e-05)
(2,-0.111607)
(2,0.0062893081761)
(2,0.0104821802935)
(3,0)
(3,-1)
(6,None)
(6,0.03887)
(6,0.0096463022508)
(6,None)
(5,None)
(5,-0.43408)
(5,0.00287356321839)
(5,0.00862068965517)
(8,4)
(8,-1)
(9,0.00252444444444)
(9,-0.715039)
(9,0.0048)
(9,0.0016)
(6,0)
(6,-1)
(4,5)
(4,-1)
(1,1)
(1,7.0)
(10,0.00187776141384)
(10,0)
(10,0.0103092783505)
(10,None)
(10,0)
(10,1.0)
(5,0)
(5,-1)
(7,0)
(7,-1)
(9,0)
(9,-1)
(7,0.0031862745098)
(7,-0.0122517)
(7,0.016339869281)
(7,0.00653594771242)
(8,0.0001628001628)
(8,0)
(8,0.0161443494777)
(8,None)
