(2,None)
(2,0)
(2,0.00235849056604)
(2,None)
(1,0)
(1,3.0)
(3,None)
(3,0)
(3,0.014598540146)
(3,0.0029197080292)
(1,None)
(1,0)
(1,0.0107858243451)
(1,None)
(2,0)
(2,1.0)
(5,0.00318529721802)
(5,0)
(5,0.000962463907603)
(5,0.0125120307988)
(4,7)
(4,0.0)
(4,0.00451239977624)
(4,0)
(4,0.0138728323699)
(4,0.00346820809249)
(6,None)
(6,0)
(6,0.012853470437)
(6,None)
(5,0)
(5,0.0)
(6,0)
(6,-1)
(8,None)
(8,0)
(8,0.0204379562044)
(8,None)
(7,0)
(7,1.0)
(7,0.000220690394087)
(7,0.296708)
(7,0.0151630022745)
(7,None)
(9,None)
(9,0.0282304)
(9,0.0111420612813)
(9,0.00139275766017)
(3,1)
(3,-1)
(8,0)
(8,3.0)
(9,0)
(9,-1)
(10,0)
(10,-1)
(10,0.000149042402564)
(10,0)
(10,0.0167672702884)
(10,0.00469483568075)
