(2,0)
(2,-1)
(1,0)
(1,-1)
(3,0)
(3,-1)
(2,0.00364310790223)
(2,0.123078)
(2,0.0041067761807)
(2,None)
(1,0.000443170738913)
(1,0.192886)
(1,0.0036832412523)
(1,None)
(4,0)
(4,-1)
(5,0)
(5,-1)
(4,0.00037558685446)
(4,0.105125)
(4,0.00380952380952)
(4,None)
(6,0)
(6,-1)
(3,0.000507947218474)
(3,0.156556)
(3,0.0116959064327)
(3,None)
(6,0.000658317276814)
(6,0.180281)
(6,0.00578034682081)
(6,None)
(5,0.00232599993334)
(5,0.0175668)
(5,0.00869565217391)
(5,0.00173913043478)
(7,0)
(7,-1)
(8,0)
(8,0.0)
(9,0)
(9,0.0)
(7,0.00133481646274)
(7,None)
(7,0.00862068965517)
(7,0.00172413793103)
(9,None)
(9,0.360088)
(9,0.00292397660819)
(9,None)
(8,0.0013638293528)
(8,0.30243)
(8,0.0111524163569)
(8,0.00185873605948)
