(1,0)
(1,-1)
(3,0)
(3,-1)
(1,0.00119991678802)
(1,-0.0757298)
(1,0.00631578947368)
(1,None)
(3,0.000271739130435)
(3,-0.0755864)
(3,0.0208333333333)
(3,None)
(2,0.00296533206981)
(2,0.0402581)
(2,0.0114285714286)
(2,0.00285714285714)
(4,0)
(4,-1)
(2,3)
(2,-1)
(4,0.00680276858485)
(4,-0.197832)
(4,0.0160550458716)
(4,None)
(9,0)
(9,1.0)
(10,0)
(10,1.0)
(7,0.000493595856315)
(7,None)
(7,0.00546946216955)
(7,0.00592525068368)
(9,0.00063973325062)
(9,0)
(9,0.0120192307692)
(9,None)
(8,3)
(8,0.333333333333)
(7,0)
(7,0.0)
(10,0.000159306750589)
(10,-0.103759)
(10,0.0179282868526)
(10,0.00498007968127)
(8,None)
(8,0.0247232)
(8,0.00164203612479)
(8,0.00164203612479)
(6,0.00096119117595)
(6,-0.0535487)
(6,0.0241492864984)
(6,None)
(5,0)
(5,0.8)
(6,1)
(6,0.666666666667)
(5,0.000346333197274)
(5,-0.0317298)
(5,0.0231548480463)
(5,0.00289435600579)
