(2,0)
(2,1.75)
(3,5)
(3,-1)
(1,0.000320699708455)
(1,-0.332739)
(1,0.0102040816327)
(1,None)
(1,0)
(1,-1)
(2,0.000151630203781)
(2,-0.219942)
(2,0.00493096646943)
(2,None)
(5,0)
(5,-1)
(4,0)
(4,-1)
(5,0.000426635577183)
(5,0.111152)
(5,0.0182481751825)
(5,None)
(7,0)
(7,2.25)
(6,0)
(6,-1)
(8,0)
(8,0.0)
(6,0.00189573459716)
(6,0.0778449)
(6,0.0189573459716)
(6,None)
(4,0.000264101112998)
(4,-0.409161)
(4,0.0125448028674)
(4,None)
(8,-0.000550509221029)
(8,-0.260818)
(8,0.0154142581888)
(8,None)
(7,0.000550986996536)
(7,0.257482)
(7,0.0127388535032)
(7,0.00796178343949)
(9,0)
(9,-1)
(10,0.000176366843034)
(10,0.115022)
(10,0.00987654320988)
(10,None)
(10,0)
(10,-1)
(9,0.00208986415883)
(9,-0.11535)
(9,0.0296846011132)
(9,None)
