(3,0)
(2,0)
(1,0)
(4,0)
(3,0.0)
(2,0.0)
(2,0.0430103)
(3,-0.141287)
(3,0.0131578947368)
(2,0.00657894736842)
(3,0.0105263157895)
(2,0.00493421052632)
(1,0.0)
(1,0.22414)
(1,0.010582010582)
(1,0.00352733686067)
(5,3)
(4,0.0)
(4,-0.281433)
(4,0.0)
(4,0.00561797752809)
(6,0)
(5,0.0)
(5,0.163743)
(5,0.00263504611331)
(5,0.0)
(7,0)
(6,0.0)
(6,0.215371)
(6,0.0188560653677)
(6,0.0043997485858)
(8,0)
(7,0.0)
(7,-0.0640706)
(7,0.00665778961385)
(7,0.00399467376831)
(8,0.0)
(8,0)
(8,0.00724637681159)
(8,0.0)
(9,0)
(10,0)
(11,0)
(12,0)
(10,0.0)
(10,0.175158)
(10,0.0038961038961)
(10,0.025974025974)
(11,0.0)
(11,-0.0663376)
(11,0.0075329566855)
(11,0.0075329566855)
(9,0.0)
(9,0.0985152)
(9,0.0131291028446)
(9,0.0054704595186)
(13,0)
(14,4)
(12,0.0)
(12,0.13162)
(12,0.0134615384615)
(12,0.00961538461538)
(13,0.0)
(13,0.0566546)
(13,0.00805369127517)
(13,0.00134228187919)
(15,0)
(15,0.0)
(15,0.321511)
(15,0.0117370892019)
(15,0.00821596244131)
(14,0.0)
(14,0.135584)
(14,0.0185185185185)
(14,0.00740740740741)
