(2,1)
(1,0)
(3,0)
(2,0)
(2,0.00445103857567)
(2,0.00148367952522)
(1,0)
(1,0.0191131498471)
(1,0.00688073394495)
(3,0)
(3,0.00734878462408)
(3,0.00226116449972)
(4,1)
(5,0)
(4,0)
(4,0.00845070422535)
(4,0.00704225352113)
(5,0)
(5,None)
(5,0.00831946755408)
(6,0)
(6,0)
(6,0.0180505415162)
(6,0.00120336943442)
(7,1)
(8,0)
(7,0)
(7,0.00924499229584)
(7,0.00308166409861)
(9,0)
(8,0)
(8,0.0218253968254)
(8,0.0119047619048)
(10,0)
(9,0)
(9,0.00845599749452)
(9,0.00469777638584)
(10,0)
(10,0.010989010989)
(10,0.00549450549451)
(11,0)
(11,0)
(11,0.0257611241218)
(11,0.00936768149883)
(12,0)
(13,0)
(14,0)
(13,0)
(13,0.0166821130677)
(13,0.0139017608897)
(15,0)
(14,0)
(14,0.0106609808102)
(14,0.00213219616205)
(15,0)
(15,0.0290456431535)
(15,0.00414937759336)
