(3,0)
(2,0)
(1,0)
(3,0)
(3,0.0178970917226)
(3,None)
(2,-0.0204178)
(2,0.00468384074941)
(2,0.00936768149883)
(1,-0.154139)
(1,0.0121457489879)
(1,0.0101214574899)
(4,0)
(5,0)
(4,-0.0936889)
(4,0.00124223602484)
(4,0.0198757763975)
(6,0)
(5,-0.101449)
(5,0.00574712643678)
(5,0.0114942528736)
(7,0)
(6,None)
(6,0.010428410372)
(6,0.00535512965051)
(9,0)
(7,-0.0458198)
(7,0.00502512562814)
(7,0.00502512562814)
(8,0)
(8,0.0641965)
(8,0.000847457627119)
(8,0.00508474576271)
(11,0)
(9,-0.0535234)
(9,0.0169270833333)
(9,0.00260416666667)
(11,-0.0194291)
(11,0.0103225806452)
(11,0.00645161290323)
(10,-0.0498606)
(10,0.00911458333333)
(10,0.00651041666667)
(12,0)
(10,0)
(12,-0.114279)
(12,0.0347284060552)
(12,0.00890471950134)
(13,6)
(14,0)
(13,0.282812)
(13,0.0221843003413)
(13,0.0204778156997)
(14,-0.70916)
(14,0.0130039011704)
(14,0.00390117035111)
(15,0.0139933)
(15,0.00534759358289)
(15,0.00935828877005)
(15,0)
(16,0)
(17,0)
(16,0.0298234)
(16,0.004)
(16,None)
(18,1)
(17,-0.13408)
(17,0.032)
(17,0.00666666666667)
(19,0.198672)
(19,0.0188571428571)
(19,0)
(19,0.00285714285714)
(18,-0.0188862)
(18,None)
(18,0.00709219858156)
(20,6)
(20,-0.112127)
(20,0.0188391038697)
(20,0.00458248472505)
