(1,0)
(3,0)
(2,0)
(2,0.0)
(2,-0.0638097)
(2,0.0137174211248)
(2,0.00548696844993)
(1,0.0)
(1,-0.012145)
(1,0.00338983050847)
(1,0.00169491525424)
(4,0)
(5,0.0)
(5,-0.298087)
(5,0.00680272108844)
(5,0.00340136054422)
(5,5)
(6,0)
(3,0.0)
(3,-0.112823)
(3,0.0179856115108)
(3,0.0107913669065)
(4,0.0)
(4,-0.00206984)
(4,0.0115207373272)
(4,0.0)
(7,0)
(9,0)
(8,5)
(7,0.0)
(7,-0.147786)
(7,0.0014880952381)
(7,0.00595238095238)
(8,0.0)
(8,-0.116188)
(8,0.0065445026178)
(8,0.00130890052356)
(9,0.0)
(9,-0.317384)
(9,0.00291828793774)
(9,0.00486381322957)
(10,0)
(11,0)
(10,0.0)
(10,-0.107992)
(10,0.0147710487445)
(10,0.0)
(12,0)
(13,0)
(11,0.0)
(11,-0.258816)
(11,0.0141093474427)
(11,0.00176366843034)
(13,0.0)
(13,0.0702254)
(13,0.0101781170483)
(13,0.0127226463104)
(12,0.0)
(12,-0.23656)
(12,0.0149812734082)
(12,0.00374531835206)
(14,0.0)
(14,-0.0107786)
(14,0.00642398286938)
(14,0.00428265524625)
(14,0)
(15,0)
(15,0.0)
(15,-0.0273086)
(15,0.00655021834061)
(15,0.0)
