(2,0)
(2,0.15765)
(2,0.0243902439024)
(2,0.00174216027875)
(1,0)
(1,-0.0612306)
(1,0.0278350515464)
(1,0.00309278350515)
(3,0)
(3,0.0673639)
(3,0.0105263157895)
(3,0.00175438596491)
(10,0)
(10,0.463649)
(10,0.0214669051878)
(10,0.00894454382826)
(5,0)
(5,-0.452449)
(5,0.00974025974026)
(5,0.00324675324675)
(2,1)
(2,1.0)
(1,0)
(1,1.0)
(7,0)
(7,0)
(7,0.0134048257373)
(7,0.00402144772118)
(9,0)
(9,0)
(9,0.0282131661442)
(9,0.00626959247649)
(8,0)
(8,2.0)
(4,0)
(4,-1)
(3,8)
(3,-1)
(8,0)
(8,-0.390552)
(8,0.0107003891051)
(8,0.000972762645914)
(4,0)
(4,0.184549)
(4,0.0224358974359)
(4,0.0112179487179)
(6,6)
(6,2.5)
(6,0)
(6,0.140754)
(6,0.0374531835206)
(6,0.00249687890137)
(7,0)
(7,-1)
(5,0)
(5,-1)
(10,0)
(10,1.0)
(9,0)
(9,1.0)
