(1,0)
(2,0)
(3,5)
(1,0.0)
(1,-0.332739)
(1,0.0102040816327)
(1,0.0)
(7,0)
(14,0.0)
(14,0.307347)
(14,0.0176600441501)
(14,0.0)
(13,0.0)
(13,-0.0112418)
(13,0.0161054172767)
(13,0.0)
(15,15)
(2,0.0)
(2,-0.219942)
(2,0.00493096646943)
(2,0.00394477317554)
(12,0)
(10,0)
(4,0)
(7,0.0)
(7,0.257482)
(7,0.0127388535032)
(7,0.01008492569)
(5,0.0)
(5,0.111152)
(5,0.0182481751825)
(5,0.0036496350365)
(9,0)
(8,0)
(5,0)
(14,14)
(13,0)
(11,7)
(4,0.0)
(4,-0.409161)
(4,0.0125448028674)
(4,0.00179211469534)
(12,0.0)
(12,0.442526)
(12,0.00544959128065)
(12,0.00544959128065)
(9,0.0)
(9,-0.11535)
(9,0.0296846011132)
(9,0.0)
(11,0.0)
(11,-0.04954)
(11,0.0344827586207)
(11,0.0026525198939)
(6,0)
(10,0.0)
(10,0.115022)
(10,0.00987654320988)
(10,0.00246913580247)
(6,0.0)
(6,0.0437871)
(6,0.0189573459716)
(6,0.00157977883096)
(8,0.0)
(8,-0.260818)
(8,0.0154142581888)
(8,0.0)
(15,0.0)
(15,0.140569)
(15,0.0100628930818)
(15,0.00251572327044)
