(2,0)
(1,0)
(3,10)
(3,0.137152)
(3,0.00853242320819)
(3,0.00511945392491)
(2,0.143776)
(2,0.00957592339261)
(2,0.00683994528044)
(1,0.0966681)
(1,0.0118343195266)
(1,0.00443786982249)
(4,6)
(5,0)
(6,3)
(4,None)
(4,0.00612369871402)
(4,0.00673606858543)
(7,6)
(5,0.128882)
(5,0.00495867768595)
(5,0.00826446280992)
(6,0.13717)
(6,0.0070323488045)
(6,0.0)
(8,0)
(9,1)
(7,None)
(7,0.00786575773466)
(7,0.00734137388568)
(8,-0.264016)
(8,0.0237226277372)
(8,0.00912408759124)
(10,6)
(11,0)
(10,0.130556)
(10,0.00374531835206)
(10,0.0065543071161)
(12,0)
(9,0.246372)
(9,0.00574712643678)
(9,0.00574712643678)
(11,0.144591)
(11,0.00623052959502)
(11,0.0)
(13,2)
(12,0.134728)
(12,0.00676589986468)
(12,0.0)
(14,0)
(13,0.120419)
(13,0.0145454545455)
(13,0.0)
(14,0)
(14,0.0180084745763)
(14,0.00423728813559)
(15,1)
(15,-0.0355667)
(15,0.00758533501896)
(15,0.0031605562579)
